법정동시군구코드,법정동읍면동코드,법정동지번코드,법정동본번코드,법정동부번코드,도로명,도로명시군구코드,도로명코드,도로명일련번호코드,도로명지상지하코드,도로명건물본번호코드,도로명건물부번호코드,법정동,단지명,지번,전용면적,계약년도,계약월,계약일,거래금액,층,건축년도,단지일련번호,해제여부,해제사유발생일,거래유형,중개사소재지,등기일자,아파트동명,매도자,매수자,토지임대부아파트여부
41135,10300,1,0198,0000,불정로,41135,3180030,03,0,00179,00000,정자동,정든마을(2단지)(동아),198,48.84,2025,6,23,78000,15,1995,41135-62,O,25.08.11,중개거래,경기 성남시 분당구,None,None,개인,개인,N
41135,11600,1,0642,0000,판교대장로5길,41135,4859965,01,0,00020,00000,대장동,판교풍경채어바니티(5단지),642,84.973,2025,6,27,87000,14,2021,41135-602,None,None,중개거래,경기 성남시 분당구,25.10.13,507동,개인,개인,N
41135,10600,1,0100,0000,양현로,41135,3180042,02,0,00220,00000,이매동,이매촌(삼성),100,174.67,2025,6,27,184000,11,1994,41135-92,None,None,중개거래,경기 성남시 분당구,25.10.13,1009,개인,개인,N
41135,10700,1,0510,0000,양현로,41135,3180042,03,0,00272,00000,야탑동,탑마을(경향),510,131.4,2025,6,26,153000,8,1993,41135-141,None,None,중개거래,경기 성남시 분당구,25.09.30,301,개인,개인,N
41135,11100,1,0133,0000,미금로,41135,3180016,01,0,00216,00000,금곡동,청솔마을(주공9단지),133,36.54,2025,6,24,65000,4,1995,41135-158,None,None,중개거래,경기 성남시 분당구,25.08.28,903,개인,개인,N
41135,11500,1,0958,0000,산운로,41135,3180031,01,0,00126,00000,운중동,산운마을9단지(대방노블랜드),958,84.99,2025,6,25,160000,8,2008,41135-435,None,None,중개거래,경기 성남시 분당구,25.10.15,901,개인,개인,N
41135,11400,1,0211,0000,미금로,41135,3180016,02,0,00023,00000,구미동,무지개(1단지)(대림),211,47.52,2025,6,27,69700,13,1995,41135-180,None,None,중개거래,경기 성남시 분당구,25.10.28,102,개인,개인,N
41135,10300,1,0006,0000,정자일로,41135,3180021,01,0,00248,00000,정자동,파크뷰,6,139.68,2025,6,24,285000,28,2004,41135-250,None,None,직거래,None,25.09.03,606,개인,개인,N
41135,10300,1,0180,0000,정자일로,41135,3180021,01,0,00100,00000,정자동,미켈란쉐르빌,180,157.57,2025,6,20,182000,2,2003,41135-241,None,None,중개거래,경기 성남시 분당구,25.10.31,B,개인,개인,N
41135,10700,1,0334,0000,장미로,41135,3180048,01,0,00101,00000,야탑동,장미마을(현대),334,41.76,2025,6,26,61700,10,1993,41135-139,None,None,중개거래,경기 성남시 분당구,25.09.19,822,개인,개인,N
41135,10600,1,0117,0000,양현로94번길,41135,4340315,01,0,00028,00000,이매동,이매촌(동신3),117,84.6,2025,6,26,150000,5,1992,41135-222,None,None,중개거래,경기 성남시 분당구,25.09.29,309,개인,개인,N
41135,10300,1,0006,0000,정자일로,41135,3180021,01,0,00248,00000,정자동,파크뷰,6,139.68,2025,6,20,290000,20,2004,41135-250,None,None,중개거래,경기 성남시 분당구,25.10.01,603,개인,개인,N
41135,10300,1,0181,0000,정자일로,41135,3180021,01,0,00080,00000,정자동,상록마을(임광),181,84.97,2025,6,26,162700,18,1995,41135-61,None,None,중개거래,"경기 성남시 분당구, 서울 서초구",25.09.05,407,개인,개인,N
41135,11100,1,0181,0000,정자일로,41135,3180021,02,0,00072,00000,금곡동,청솔마을(한라),181,69.12,2025,6,25,125000,2,1995,41135-159,None,None,중개거래,경기 성남시 분당구,25.10.23,305,개인,개인,N
41135,10700,1,0536,0000,야탑로,41135,3180041,01,0,00020,00000,야탑동,탑마을(선경)1,536,51.84,2025,6,24,88000,10,1992,41135-145,None,None,중개거래,경기 성남시 분당구,25.08.20,114,개인,개인,N
41135,10600,1,0132,0000,판교로,41135,3180051,01,0,00430,00000,이매동,아름마을(태영),132,134.79,2025,6,27,138000,5,1992,41135-85,None,None,직거래,None,25.09.16,302,개인,개인,N
41135,11400,1,0240,0000,구미로144번길,41135,4340006,01,0,00008,00000,구미동,무지개(9단지)(동아),240,101.97,2025,6,18,114500,7,1995,41135-181,None,None,중개거래,경기 성남시 분당구,25.11.20,902,개인,개인,N
41135,10300,1,0006,0000,정자일로,41135,3180021,01,0,00248,00000,정자동,파크뷰,6,199.777,2025,6,27,385000,18,2004,41135-250,None,None,중개거래,경기 성남시 분당구,25.08.19,612,개인,개인,N
41135,10700,1,0334,0000,장미로,41135,3180048,01,0,00101,00000,야탑동,장미마을(현대),334,41.76,2025,6,26,63000,3,1993,41135-139,None,None,중개거래,경기 용인시 수지구,25.10.24,822,개인,개인,N
41135,11000,1,0545,0000,동판교로,41135,3178016,02,0,00122,00000,백현동,백현마을2단지,545,118.94,2025,6,7,235000,8,2009,41135-473,None,None,중개거래,경기 성남시 분당구,25.10.21,203,개인,개인,N
41135,11400,1,0110,0000,미금일로,41135,3180061,03,0,00021,00000,구미동,하얀마을(5단지)(주공),110,38.07,2025,6,20,64900,8,1995,41135-207,None,None,중개거래,경기 성남시 분당구,25.07.29,506,개인,개인,N
41135,11000,1,0554,0000,판교역로,41135,3179025,02,0,00102,00000,백현동,백현마을5단지(주공),554,84.91,2025,6,22,238000,3,2009,41135-469,None,None,중개거래,경기 성남시 분당구,26.01.02,508,개인,개인,N
41135,11100,1,0180,0000,정자일로,41135,3180021,02,0,00046,00000,금곡동,청솔마을(유천),180,84.6,2025,6,24,160000,11,1995,41135-157,None,None,중개거래,경기 성남시 분당구,25.09.26,205,개인,개인,N
