rnum,platPlc,sigunguCd,bjdongCd,platGbCd,bun,ji,mgmPmsrgstPk,bldNm,splotNm,block,lot,jimokCdNm,jiyukCdNm,jiguCdNm,guyukCd,guyukCdNm,jimokCd,jiyukCd,jiguCd,archGbCd,archGbCdNm,platArea,archArea,bcRat,totArea,vlRatEstmTotArea,vlRat,mainBldCnt,atchBldDongCnt,mainPurpsCd,mainPurpsCdNm,hhldCnt,hoCnt,fmlyCnt,totPkngCnt,stcnsSchedDay,stcnsDelayDay,realStcnsDay,archPmsDay,useAprDay,crtnDay
201,경기도 성남시 분당구 백현동 500-14번지,41135,11000,0,0500,0014,1089100008666,., , , ,잡종지,보전녹지지역, , , ,28,1310, ,0100,신축,1447.0,289.24,19.98,765.24,544.95,37.66,1,0,03000,제1종근린생활시설,0,0,1,0,20090522, ,20090519,20090420,20131226,20220909
202,경기도 성남시 분당구 백현동 500-14번지,41135,11000,0,0500,0014,108911875,백현동근린생활시설, , , ,잡종지,도시지역, , , ,28,0100, ,0100,신축,1447.0,276.66,19.12,992.49,715.47,49.45,1,0,04000,제2종근린생활시설,1,0,0,19, ,20011228, ,19991229, ,20220909
203,경기도 성남시 분당구 백현동 500-14번지,41135,11000,0,0500,0014,1000000000000000599011,백현동 500-14, , , ,대,보전녹지지역, ,UQQ300,지구단위계획구역,08,UQA410, ,0700,용도변경,1447.0,289.24,19.99,765.24,544.95,37.66,1,0,03000,제1종근린생활시설,0,0,0,0, , , ,20241014, ,20241014
204,경기도 성남시 분당구 백현동 500-15번지,41135,11000,0,0500,0015,108914485, , , , , , , , , , , , , , ,802.0,39.0,0.0,39.0,0.0,0.0,0,0, , ,0,0,0,0, , , ,20030604, ,20220909
205,경기도 성남시 분당구 백현동 500-15번지,41135,11000,0,0500,0015,1089100013868, , , , ,대,보전녹지지역, , , ,08,1310, ,0700,용도변경,802.0,160.14,19.9676,494.51,424.57,52.9389,1,0,03000,제1종근린생활시설,0,0,0,0, , , ,20100414,20100520,20220909
206,경기도 성남시 분당구 백현동 500-15번지,41135,11000,0,0500,0015,108912260,., , , ,잡종지,보전녹지지역, , , ,28,1310, ,0100,신축,802.0,160.14,19.97,494.51,424.57,52.94,1,0,03000,제1종근린생활시설,0,0,1,10,20020502,20020822,20020502,20000823,20031229,20220909
207,경기도 성남시 분당구 백현동 500-15번지,41135,11000,0,0500,0015,1089100054203,백현동 500-15 제1종근린생활시설 (김홍석), , , ,대,도시지역,비행안전제2구역(전술),UJC100,소하천구역,08,UQA001,UNE412,0200,증축,1131.0,225.44,19.93,555.55,485.61,42.94,1,1,03000,제1종근린생활시설,0,0,0,0,20181019, ,20181023,20180904,20190222,20220909
208,경기도 성남시 분당구 백현동 501번지,41135,11000,0,0501,0000,108912462,백현동주택신축공사, , , ,대,보전녹지지역, , , ,08,1310, ,0100,신축,480.0,94.23,19.63,280.41,179.16,37.33,1,0,01000,단독주택,0,0,3,0, , ,20010309,20000919,20030807,20220909
209,경기도 성남시 분당구 백현동 501-1번지,41135,11000,0,0501,0001,108912463,가동, , , ,대,보전녹지지역, , , ,08,1310, ,0100,신축,479.0,94.23,19.67,280.41,179.16,37.4,1,0,01000,단독주택,0,0,3,0, , ,20010309,20000919,20030807,20220909
210,경기도 성남시 분당구 백현동 501-3번지,41135,11000,0,0501,0003,108912475,백현동주택신축공사, , , ,대,보전녹지지역, , , ,08,1310, ,0100,신축,344.0,67.74,19.69,212.99,129.51,37.65,1,0,01000,단독주택,0,0,3,0, , ,20010309,20000927,20030807,20220909
211,경기도 성남시 분당구 백현동 502번지,41135,11000,0,0502,0000,1000000000000000872034, , , , ,대,보전녹지지역, , , ,08,UQA410, , , ,4467.0,18.0,0.0,18.0,0.0,0.0,0,0, , ,0,0,0,0, , , ,20260108, ,20260609
212,경기도 성남시 분당구 백현동 502번지,41135,11000,0,0502,0000,1000000000000000840090, , , , ,대,도시지역, ,UML100,배수구역,08,UQA001, , , ,4467.0,69.6,0.0,69.6,0.0,0.0,0,0, , ,0,0,0,0, , , ,20251112, ,20260609
213,경기도 성남시 분당구 백현동 502번지,41135,11000,0,0502,0000,108911842, , , , ,잡종지,보전녹지지역, , , ,28,1310, ,0100,신축,660.0,115.92,17.5636,258.48,189.54,28.7182,1,0,01000,단독주택,0,0,1,2,20000525, ,19991214,19991214, ,20220909
214,경기도 성남시 분당구 백현동 502번지,41135,11000,0,0502,0000,1089100043266,백현동단독주택 (정용진), , , ,대,보전녹지지역, ,UML100,배수구역,08,UQA410, ,0200,증축,4467.0,882.79,19.76,3049.1,1254.08,28.07,1,2,01000,단독주택,1,0,0,0,20151116, ,20151117,20151029,20180102,20220909
215,경기도 성남시 분당구 백현동 502번지,41135,11000,0,0502,0000,1000000000000000957446, , , , ,대,도시지역, , , ,08,UQA001, , , ,0.0,0.0,0.0,0.0,0.0,0.0,0,0, , ,0,0,0,0, , , ,20260527, ,20260527
