rnum,platPlc,sigunguCd,bjdongCd,platGbCd,bun,ji,mgmBldrgstPk,mgmUpBldrgstPk,bldgId,regstrGbCd,regstrGbCdNm,regstrKindCd,regstrKindCdNm,newPlatPlc,bldNm,splotNm,block,lot,bylotCnt,naRoadCd,naBjdongCd,naUgrndCd,naMainBun,naSubBun,jiyukCd,jiguCd,guyukCd,jiyukCdNm,jiguCdNm,guyukCdNm,crtnDay
98,경기도 성남시 분당구 백현동 403-6번지,41135,11000,0,0403,0006,10891126635,0,2120041910007236,2,집합,3,표제부,경기도 성남시 분당구 대왕판교로385번길 12-3 (백현동), , , , ,0,411354340050,11001,0,12,3,1330, , ,자연녹지지역, , ,20220909
99,경기도 성남시 분당구 백현동 403-6번지,41135,11000,0,0403,0006,10891262350,10891126635,2220041910110681,2,집합,4,전유부,경기도 성남시 분당구 대왕판교로385번길 12-3 (백현동), , , , ,0,411354340050,11001,0,12,3, , , , , , ,20220909
100,경기도 성남시 분당구 백현동 403-18번지,41135,11000,0,0403,0018,10891122074,0,2120061910000143,1,일반,2,일반건축물,경기도 성남시 분당구 대왕판교로385번길 12-4 (백현동), , , , ,0,411354340050,11001,0,12,4,1330,011, ,자연녹지지역,자연취락지구, ,20220909
101,경기도 성남시 분당구 백현동 403-19번지,41135,11000,0,0403,0019,10891121665,0,2120071910000075,1,일반,2,일반건축물,경기도 성남시 분당구 대왕판교로395번길 14 (백현동), , , , ,0,411354340051,11001,0,14,0,1330,011, ,자연녹지지역,자연취락지구, ,20220909
102,경기도 성남시 분당구 백현동 404-6번지,41135,11000,0,0404,0006,10891119229,10891117811,2120041910007184,1,일반,2,일반건축물,경기도 성남시 분당구 대왕판교로395번길 8 (백현동),공장B동, , , ,6,411354340051,11001,0,8,0, , , , , , ,20220909
103,경기도 성남시 분당구 백현동 404-6번지,41135,11000,0,0404,0006,10891117811,0,2020041910000408,1,일반,1,총괄표제부,경기도 성남시 분당구 대왕판교로395번길 8 (백현동),남서울 첨단 아파트형공장, , , ,5,411354340051,11001,0,8,0,1310, , ,보전녹지지역, , ,20220909
104,경기도 성남시 분당구 백현동 404-6번지,41135,11000,0,0404,0006,10891119228,10891117811,2120041910007183,1,일반,2,일반건축물,경기도 성남시 분당구 대왕판교로395번길 8 (백현동),공장A동, , , ,6,411354340051,11001,0,8,0, , , , , , ,20220909
105,경기도 성남시 분당구 백현동 406-2번지,41135,11000,0,0406,0002,10891124693,0,2120041910007186,1,일반,2,일반건축물,경기도 성남시 분당구 대왕판교로395번길 10 (백현동), , , , ,1,411354340051,11001,0,10,0, , , , , , ,20220909
106,경기도 성남시 분당구 백현동 406-3번지,41135,11000,0,0406,0003,10891124877,0,2120041910007187,1,일반,2,일반건축물,경기도 성남시 분당구 대왕판교로385번길 4-3 (백현동), , , , ,0,411354340050,11001,0,4,3, , , , , , ,20240314
107,경기도 성남시 분당구 백현동 406-4번지,41135,11000,0,0406,0004,10891100228529,0,2120111910000625,1,일반,2,일반건축물,경기도 성남시 분당구 대왕판교로385번길 4-6 (백현동),정우빌딩, , , ,2,411354340050,11001,0,4,6,UQA430,UQM110, ,자연녹지지역,자연취락지구, ,20220909
